Year,Actor,Role,Movie,Link, Winner,Ethnicity
1934,Clark Gable,Peter Warne,It Happened One Night,https://en.wikipedia.org//wiki/It_Happened_One_Night,True,"['German', 'Irish', 'SwissGerman', 'Belgian']"
1934,Frank Morga,"Alessandro, Duke of Florence",The Affairs of Cellini,https://en.wikipedia.org//wiki/The_Affairs_of_Cellini,False,[]
1934,William Powel,Nick Charles,The Thin Man,https://en.wikipedia.org//wiki/The_Thin_Man_(film),False,[]
1935,Victor McLaglen,Gypo Nolan,The Informer,https://en.wikipedia.org//wiki/The_Informer_(1935_film),True,"['Afrikaner', 'Dutch', 'German', 'Irish', 'Scottish', 'English']"
1935,Clark Gabl,Lieutenant Fletcher Christian,Mutiny on the Bounty,https://en.wikipedia.org//wiki/Mutiny_on_the_Bounty_(1935_film),False,"['German', 'Irish', 'SwissGerman', 'Belgian']"
1935,Charles Laughto,Captain William Bligh,,https://en.wikipedia.org//wiki/Charles_Laughton,False,['Irish']
1935,Paul Muni ,Joe Radek,Black Fury,https://en.wikipedia.org//wiki/Black_Fury_(film),False,"['Ashkenazi', 'Jewish']"
1935,Franchot Ton,Midshipman Roger Byam,Mutiny on the Bounty,https://en.wikipedia.org//wiki/Mutiny_on_the_Bounty_(1935_film),False,[]
1936,Paul Muni,Louis Pasteur,The Story of Louis Pasteur,https://en.wikipedia.org//wiki/The_Story_of_Louis_Pasteur,True,"['Ashkenazi', 'Jewish']"
1936,Gary Coope,Longfellow Deeds,Mr. Deeds Goes to Town,https://en.wikipedia.org//wiki/Mr._Deeds_Goes_to_Town,False,['English']
1936,Walter Husto,Sam Dodsworth,Dodsworth,https://en.wikipedia.org//wiki/Dodsworth_(film),False,"['ScotsIrishNorthern', 'Irish', 'Scottish']"
1936,William Powel,Godfrey Park,My Man Godfrey,https://en.wikipedia.org//wiki/My_Man_Godfrey,False,[]
1936,Spencer Trac,Father Tim Mullin,San Francisco,https://en.wikipedia.org//wiki/San_Francisco_(1936_film),False,['English']
1937,Spencer Tracy,Manuel Fidello,Captains Courageous,https://en.wikipedia.org//wiki/Captains_Courageous_(1937_film),True,['English']
1937,Charles Boye,Emperor Napoleon Bonaparte,Conquest,https://en.wikipedia.org//wiki/Conquest_(1937_film),False,['French']
1937,Fredric Marc,Norman Maine,A Star Is Born,https://en.wikipedia.org//wiki/A_Star_Is_Born_(1937_film),False,"['English', 'Scottish', 'Dutch', 'German', 'Belgian', 'Flemish', 'Norwegian']"
1937,Robert Montgomer,Danny,Night Must Fall,https://en.wikipedia.org//wiki/Night_Must_Fall_(1937_film),False,[]
1937,Paul Mun,Émile Zola,The Life of Emile Zola,https://en.wikipedia.org//wiki/The_Life_of_Emile_Zola,False,"['Ashkenazi', 'Jewish']"
1938,Spencer Tracy,Father Flanagan,Boys Town,https://en.wikipedia.org//wiki/Boys_Town_(film),True,['English']
1938,Charles Boye,Pepe le Moko,Algiers,https://en.wikipedia.org//wiki/Algiers_(film),False,['French']
1938,James Cagne,Rocky Sullivan,Angels with Dirty Faces,https://en.wikipedia.org//wiki/Angels_with_Dirty_Faces,False,"['Irish25', 'Norwegian']"
1938,Robert Dona,Dr. Andrew Manson,The Citadel,https://en.wikipedia.org//wiki/The_Citadel_(1938_film),False,"['Polish', 'English', 'French', 'German']"
1938,Leslie Howar,Professor Henry Higgins,Pygmalion,https://en.wikipedia.org//wiki/Pygmalion_(1938_film),False,"['Ashkenazi', 'Jewish375', 'English']"
1939,Robert Donat,Charles Edward Chipping,"Goodbye, Mr. Chips","https://en.wikipedia.org//wiki/Goodbye,_Mr._Chips_(1939_film)",True,"['Polish', 'English', 'French', 'German']"
1939,Clark Gabl,Rhett Butler,Gone with the Wind,https://en.wikipedia.org//wiki/Gone_with_the_Wind_(film),False,"['German', 'Irish', 'SwissGerman', 'Belgian']"
1939,Laurence Olivie,Heathcliff,Wuthering Heights,https://en.wikipedia.org//wiki/Wuthering_Heights_(1939_film),False,"['English', 'French', 'Huguenot']"
1939,Mickey Roone,Mickey Moran,Babes in Arms,https://en.wikipedia.org//wiki/Babes_in_Arms_(film),False,"['Scottish', 'English']"
1939,James Stewar,Jefferson Smith,Mr. Smith Goes to Washington,https://en.wikipedia.org//wiki/Mr._Smith_Goes_to_Washington,False,[]
1940,James Stewart,"Macaulay ""Mike"" Connor",The Philadelphia Story,https://en.wikipedia.org//wiki/The_Philadelphia_Story_(film),True,"['ScotsIrishNorthern', 'Irish', 'Scottish', 'Irish', 'English']"
1940,Charlie Chapli,Adenoid Hynkel / The Barber,The Great Dictator,https://en.wikipedia.org//wiki/The_Great_Dictator,False,"['English', 'Irish']"
1940,Henry Fond,Tom Joad,The Grapes of Wrath,https://en.wikipedia.org//wiki/The_Grapes_of_Wrath_(film),False,"['Dutch', 'English', 'Scottish', 'Norwegian', 'German', 'Italian']"
1940,Raymond Masse,Abraham Lincoln,Abe Lincoln in Illinois,https://en.wikipedia.org//wiki/Abe_Lincoln_in_Illinois_(film),False,[]
1940,Laurence Olivie,"Maximilian ""Maxim"" de Winter",Rebecca,https://en.wikipedia.org//wiki/Rebecca_(1940_film),False,"['English', 'French', 'Huguenot']"
1941,Gary Cooper,Sgt. Alvin York,Sergeant York,https://en.wikipedia.org//wiki/Sergeant_York_(film),True,['English']
1941,Cary Gran,Roger Adams,Penny Serenade,https://en.wikipedia.org//wiki/Penny_Serenade,False,"['English', 'Welsh', 'Scottish']"
1941,Walter Husto,Mr. Scratch,The Devil and Daniel Webster,https://en.wikipedia.org//wiki/The_Devil_and_Daniel_Webster_(film),False,"['ScotsIrishNorthern', 'Irish', 'Scottish']"
1941,Robert Montgomer,Joe Pendleton,Here Comes Mr. Jordan,https://en.wikipedia.org//wiki/Here_Comes_Mr._Jordan,False,[]
1941,Orson Welle,Charles Foster Kane,Citizen Kane,https://en.wikipedia.org//wiki/Citizen_Kane,False,"['English', 'Scottish', 'Welsh']"
1942,James Cagney,George M. Cohan,Yankee Doodle Dandy,https://en.wikipedia.org//wiki/Yankee_Doodle_Dandy,True,"['Irish25', 'Norwegian']"
1942,Ronald Colma,Charles Rainier,Random Harvest,https://en.wikipedia.org//wiki/Random_Harvest_(film),False,"['English', 'Scottish']"
1942,Gary Coope,Lou Gehrig,The Pride of the Yankees,https://en.wikipedia.org//wiki/The_Pride_of_the_Yankees,False,['English']
1942,Walter Pidgeo,Clem Miniver,Mrs. Miniver,https://en.wikipedia.org//wiki/Mrs._Miniver,False,[]
1942,Monty Woolle,Howard,The Pied Piper,https://en.wikipedia.org//wiki/The_Pied_Piper_(1942_film),False,[]
1943,Paul Lukas,Kurt Muller,Watch on the Rhine,https://en.wikipedia.org//wiki/Watch_on_the_Rhine,True,"['Ashkenazi', 'Jewish']"
1943,Humphrey Bogar,Rick Blaine,Casablanca,https://en.wikipedia.org//wiki/Casablanca_(film),False,"['English', 'Dutch', 'German', 'French', 'Belgian', 'Walloon', 'Welsh']"
1943,Gary Coope,Robert Jordan,For Whom the Bell Tolls,https://en.wikipedia.org//wiki/For_Whom_the_Bell_Tolls_(film),False,['English']
1943,Walter Pidgeo,Pierre Curie,Madame Curie,https://en.wikipedia.org//wiki/Madame_Curie_(film),False,[]
1943,Mickey Roone,Homer Macauley,The Human Comedy,https://en.wikipedia.org//wiki/The_Human_Comedy_(film),False,"['Scottish', 'English']"
1944,Bing Crosby,Father Chuck O'Malley,Going My Way,https://en.wikipedia.org//wiki/Going_My_Way,True,"['English', 'Irish']"
1944,Charles Boye,Gregory Anton,Gaslight,https://en.wikipedia.org//wiki/Gaslight_(1944_film),False,['French']
1944,Barry Fitzgeral,Father Fitzgibbon,Going My Way,https://en.wikipedia.org//wiki/Going_My_Way,False,['German']
1944,Cary Gran,Ernie Mott,None but the Lonely Heart,https://en.wikipedia.org//wiki/None_but_the_Lonely_Heart_(film),False,"['English', 'Welsh', 'Scottish']"
1944,Alexander Kno,Woodrow Wilson,Wilson,https://en.wikipedia.org//wiki/Woodrow_Wilson,False,[]
1945,Ray Milland,Don Birnam,The Lost Weekend,https://en.wikipedia.org//wiki/The_Lost_Weekend_(film),True,['Welsh']
1945,Bing Crosb,Father Chuck O'Malley,The Bells of St. Mary's,https://en.wikipedia.org//wiki/The_Bells_of_St._Mary%27s,False,"['English', 'Irish']"
1945,Gene Kell,Joseph Brady,Anchors Aweigh,https://en.wikipedia.org//wiki/Anchors_Aweigh_(film),False,"['Irish25', 'German']"
1945,Gregory Pec,Father Francis,The Keys of the Kingdom,https://en.wikipedia.org//wiki/The_Keys_of_the_Kingdom_(film),False,"['Irish', 'English', 'German', 'Welsh']"
1945,Cornel Wild,Frédéric Chopin,A Song to Remember,https://en.wikipedia.org//wiki/A_Song_to_Remember,False,"['Ashkenazi', 'Jewish']"
1946,Fredric March,Platoon Sergeant Al Stephenson,The Best Years of Our Lives,https://en.wikipedia.org//wiki/The_Best_Years_of_Our_Lives,True,"['English', 'Scottish', 'Dutch', 'German', 'Belgian', 'Flemish', 'Norwegian']"
1946,Laurence Olivie,King Henry V of England,Henry V,https://en.wikipedia.org//wiki/Henry_V_of_England,False,"['English', 'French', 'Huguenot']"
1946,Larry Park,Al Jolson,The Jolson Story,https://en.wikipedia.org//wiki/The_Jolson_Story,False,[]
1946,Gregory Pec,"Ezra ""Penny"" Baxter",The Yearling,https://en.wikipedia.org//wiki/The_Yearling_(1946_film),False,"['Irish', 'English', 'German', 'Welsh']"
1946,James Stewar,George Bailey,It's a Wonderful Life,https://en.wikipedia.org//wiki/It%27s_a_Wonderful_Life,False,[]
1947,Ronald Colman,Anthony John,A Double Life,https://en.wikipedia.org//wiki/A_Double_Life_(1947_film),True,"['English', 'Scottish']"
1947,John Garfiel,Charlie Davis,Body and Soul,https://en.wikipedia.org//wiki/Body_and_Soul_(1947_film),False,"['Ashkenazi', 'Jewish']"
1947,Gregory Pec,Philip Schuyler Green,Gentleman's Agreement,https://en.wikipedia.org//wiki/Gentleman%27s_Agreement,False,"['Irish', 'English', 'German', 'Welsh']"
1947,William Powel,"Clarence Day, Sr.",Life with Father,https://en.wikipedia.org//wiki/Life_with_Father_(film),False,[]
1947,Michael Redgrav,Orin Mannon,Mourning Becomes Electra,https://en.wikipedia.org//wiki/Mourning_Becomes_Electra_(film),False,[]
1948,Laurence Olivier,"Hamlet, Prince of Denmark",Hamlet,https://en.wikipedia.org//wiki/Prince_Hamlet,True,"['English', 'French', 'Huguenot']"
1948,Lew Ayre,Dr. Robert Richardson,Johnny Belinda,https://en.wikipedia.org//wiki/Johnny_Belinda_(1948_film),False,[]
1948,Montgomery Clif,"Ralph ""Steve"" Stevenson",The Search,https://en.wikipedia.org//wiki/The_Search,False,"['English', 'Scottish', 'Dutch', 'German', 'French']"
1948,Dan Daile,"""Skid"" Johnson",When My Baby Smiles at Me,https://en.wikipedia.org//wiki/When_My_Baby_Smiles_at_Me_(film),False,[]
1948,Clifton Web,Lynn Aloysius Belvedere,Sitting Pretty,https://en.wikipedia.org//wiki/Sitting_Pretty_(1948_film),False,[]
1949,Broderick Crawford,Willie Stark,All the King's Men,https://en.wikipedia.org//wiki/All_the_King%27s_Men_(1949_film),True,['German']
1949,Kirk Dougla,"Michael ""Midge"" Kelly",Champion,https://en.wikipedia.org//wiki/Champion_(1949_film),False,"['Ashkenazi', 'Jewish']"
1949,Gregory Pec,Brig. General Frank Savage,Twelve O'Clock High,https://en.wikipedia.org//wiki/Twelve_O%27Clock_High,False,"['Irish', 'English', 'German', 'Welsh']"
1949,Richard Tod,"Cpl. Lachlan ""Lachie"" MacLachlan",The Hasty Heart,https://en.wikipedia.org//wiki/The_Hasty_Heart,False,[]
1949,John Wayn,Sergeant John M. Stryker,Sands of Iwo Jima,https://en.wikipedia.org//wiki/Sands_of_Iwo_Jima,False,"['English', 'ScotsIrishNorthern', 'Irish', 'Irish']"
1950,José Ferrer,Cyrano de Bergerac,Cyrano de Bergerac,https://en.wikipedia.org//wiki/Cyrano_de_Bergerac,True,[]
1950,Louis Calher,Oliver Wendell Holmes,The Magnificent Yankee,https://en.wikipedia.org//wiki/The_Magnificent_Yankee_(1950_film),False,[]
1950,William Holde,Joe Gillis,Sunset Boulevard,https://en.wikipedia.org//wiki/Sunset_Boulevard_(film),False,"['English', 'Irish', 'French']"
1950,James Stewar,Elwood P. Dowd,Harvey,https://en.wikipedia.org//wiki/Harvey_(film),False,[]
1950,Spencer Trac,Stanley T. Banks,Father of the Bride,https://en.wikipedia.org//wiki/Father_of_the_Bride_(1950_film),False,['English']
1951,Humphrey Bogart,Charlie Allnut,The African Queen,https://en.wikipedia.org//wiki/The_African_Queen_(film),True,"['English', 'Dutch', 'German', 'French', 'Belgian', 'Walloon', 'Welsh']"
1951,Marlon Brand,Stanley Kowalski,A Streetcar Named Desire,https://en.wikipedia.org//wiki/A_Streetcar_Named_Desire_(1951_film),False,"['English', 'Irish', 'German', 'Dutch', 'French', 'Huguenot', 'Welsh', 'Scottish']"
1951,Montgomery Clif,George Eastman,A Place in the Sun,https://en.wikipedia.org//wiki/A_Place_in_the_Sun_(film),False,"['English', 'Scottish', 'Dutch', 'German', 'French']"
1951,Arthur Kenned,Larry Nevins,Bright Victory,https://en.wikipedia.org//wiki/Bright_Victory,False,[]
1951,Fredric Marc,Willy Loman,Death of a Salesman,https://en.wikipedia.org//wiki/Death_of_a_Salesman_(1951_film),False,"['English', 'Scottish', 'Dutch', 'German', 'Belgian', 'Flemish', 'Norwegian']"
1952,Gary Cooper,Marshal Will Kane,High Noon,https://en.wikipedia.org//wiki/High_Noon,True,['English']
1952,Marlon Brand,Emiliano Zapata,Viva Zapata!,https://en.wikipedia.org//wiki/Viva_Zapata!,False,"['English', 'Irish', 'German', 'Dutch', 'French', 'Huguenot', 'Welsh', 'Scottish']"
1952,Kirk Dougla,Jonathan Shields,The Bad and the Beautiful,https://en.wikipedia.org//wiki/The_Bad_and_the_Beautiful,False,"['Ashkenazi', 'Jewish']"
1952,José Ferre,Henri de Toulouse-LautrecComte Alphonse de Toulouse-Lautrec,Moulin Rouge,https://en.wikipedia.org//wiki/Moulin_Rouge_(1952_film),False,[]
1952,Alec Guinnes,Holland,The Lavender Hill Mob,https://en.wikipedia.org//wiki/The_Lavender_Hill_Mob,False,[]
1953,William Holden,Sgt. J.J. Sefton,Stalag 17,https://en.wikipedia.org//wiki/Stalag_17,True,"['English', 'Irish', 'French']"
1953,Marlon Brand,Mark Antony,Julius Caesar,https://en.wikipedia.org//wiki/Julius_Caesar_(1953_film),False,"['English', 'Irish', 'German', 'Dutch', 'French', 'Huguenot', 'Welsh', 'Scottish']"
1953,Richard Burto,Marcellus Gallio,The Robe,https://en.wikipedia.org//wiki/The_Robe_(film),False,['Welsh']
1953,Montgomery Clif,"Pvt. Robert E. Lee ""Prew"" Prewitt",From Here to Eternity,https://en.wikipedia.org//wiki/From_Here_to_Eternity,False,"['English', 'Scottish', 'Dutch', 'German', 'French']"
1953,Burt Lancaste,1st Sgt. Milton Warden,,https://en.wikipedia.org//wiki/Burt_Lancaster,False,"['Northern', 'Irish', 'ScotsIrish']"
1954,Marlon Brando,Terry Malloy,On the Waterfront,https://en.wikipedia.org//wiki/On_the_Waterfront,True,"['English', 'Irish', 'German', 'Dutch', 'French', 'Huguenot', 'Welsh', 'Scottish']"
1954,Humphrey Bogar,Lt. Cmdr. Philip Francis Queeg,The Caine Mutiny,https://en.wikipedia.org//wiki/The_Caine_Mutiny_(film),False,"['English', 'Dutch', 'German', 'French', 'Belgian', 'Walloon', 'Welsh']"
1954,Bing Crosb,Frank Elgin,The Country Girl,https://en.wikipedia.org//wiki/The_Country_Girl_(1954_film),False,"['English', 'Irish']"
1954,James Maso,Norman Maine,A Star Is Born,https://en.wikipedia.org//wiki/A_Star_Is_Born_(1954_film),False,['English']
1954,Dan O'Herlih,Robinson Crusoe,Robinson Crusoe,https://en.wikipedia.org//wiki/Robinson_Crusoe_(1954_film),False,[]
1955,Ernest Borgnine,Marty Piletti,Marty,https://en.wikipedia.org//wiki/Marty_(film),True,['Italian']
1955,James Cagne,Martin Snyder,Love Me or Leave Me,https://en.wikipedia.org//wiki/Love_Me_or_Leave_Me_(film),False,"['Irish25', 'Norwegian']"
1955,James Dean *,Cal Trask,East of Eden,https://en.wikipedia.org//wiki/East_of_Eden_(film),False,"['English', 'German', 'Scottish', 'Irish', 'Welsh', 'Dutch']"
1955,Frank Sinatr,Frankie Machine,The Man with the Golden Arm,https://en.wikipedia.org//wiki/The_Man_with_the_Golden_Arm,False,"['Italian', 'Sicilian']"
1955,Spencer Trac,John J. Macreedy,Bad Day at Black Rock,https://en.wikipedia.org//wiki/Bad_Day_at_Black_Rock,False,['English']
1956,Yul Brynner,King Mongkut of Siam,The King and I,https://en.wikipedia.org//wiki/The_King_and_I_(1956_film),True,"['Russian25', 'SwissGerman']"
1956,James Dean *,Jett Rink,Giant,https://en.wikipedia.org//wiki/Giant_(1956_film),False,"['English', 'German', 'Scottish', 'Irish', 'Welsh', 'Dutch']"
1956,Kirk Dougla,Vincent van Gogh,Lust for Life,https://en.wikipedia.org//wiki/Lust_for_Life_(1956_film),False,"['Ashkenazi', 'Jewish']"
1956,Rock Hudso,"Jordan ""Bick"" Benedict Jr.",Giant,https://en.wikipedia.org//wiki/Giant_(1956_film),False,"['German', 'SwissGerman25', 'English25', 'Irish']"
1956,Laurence Olivie,King Richard III of England,Richard III,https://en.wikipedia.org//wiki/Richard_III_of_England,False,"['English', 'French', 'Huguenot']"
1957,Alec Guinness,Lieutenant Colonel Nicholson,The Bridge on the River Kwai,https://en.wikipedia.org//wiki/The_Bridge_on_the_River_Kwai,True,[]
1957,Marlon Brand,"Major Lloyd ""Ace"" Gruver, USAF",Sayonara,https://en.wikipedia.org//wiki/Sayonara,False,"['English', 'Irish', 'German', 'Dutch', 'French', 'Huguenot', 'Welsh', 'Scottish']"
1957,Anthony Francios,Polo Pope,A Hatful of Rain,https://en.wikipedia.org//wiki/A_Hatful_of_Rain,False,[]
1957,Charles Laughto,Sir Wilfrid Robarts,Witness for the Prosecution,https://en.wikipedia.org//wiki/Witness_for_the_Prosecution_(1957_film),False,['Irish']
1957,Anthony Quin,Gino,Wild Is the Wind,https://en.wikipedia.org//wiki/Wild_Is_the_Wind,False,"['Irish75', 'Mexican', 'Spanish', 'Indigenous']"
1958,David Niven,Major Angus Pollock,Separate Tables,https://en.wikipedia.org//wiki/Separate_Tables_(film),True,"['English', 'Scottish', 'French']"
1958,Tony Curti,"John ""Joker"" Jackson",The Defiant Ones,https://en.wikipedia.org//wiki/The_Defiant_Ones,False,"['Ashkenazi', 'Jewish']"
1958,Paul Newma,Brick Pollitt,Cat on a Hot Tin Roof,https://en.wikipedia.org//wiki/Cat_on_a_Hot_Tin_Roof_(1958_film),False,"['Jewish', 'Slovak']"
1958,Sidney Poitie,Noah Cullen,The Defiant Ones,https://en.wikipedia.org//wiki/The_Defiant_Ones,False,['AfricanBahamian']
1958,Spencer Trac,The Old Man,The Old Man and the Sea,https://en.wikipedia.org//wiki/The_Old_Man_and_the_Sea_(1958_film),False,['English']
1959,Charlton Heston,Judah Ben-Hur,Ben-Hur,https://en.wikipedia.org//wiki/Judah_Ben-Hur,True,"['English', 'Scottish', 'Cornish', 'German']"
1959,Laurence Harve,Joe Lampton,Room at the Top,https://en.wikipedia.org//wiki/Room_at_the_Top_(1959_film),False,"['Ashkenazi', 'Jewish']"
1959,Jack Lemmo,Jerry / Daphne,Some Like It Hot,https://en.wikipedia.org//wiki/Some_Like_It_Hot,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1959,Paul Mun,Dr. Sam Abelman,The Last Angry Man,https://en.wikipedia.org//wiki/The_Last_Angry_Man,False,"['Ashkenazi', 'Jewish']"
1959,James Stewar,Paul Biegler,Anatomy of a Murder,https://en.wikipedia.org//wiki/Anatomy_of_a_Murder,False,[]
1960,Burt Lancaster,Elmer Gantry,Elmer Gantry,https://en.wikipedia.org//wiki/Elmer_Gantry_(film),True,"['Northern', 'Irish', 'ScotsIrish']"
1960,Trevor Howar,Walter Morel,Sons and Lovers,https://en.wikipedia.org//wiki/Sons_and_Lovers_(film),False,['English']
1960,Jack Lemmo,"C. C. ""Bud"" Baxter",The Apartment,https://en.wikipedia.org//wiki/The_Apartment,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1960,Laurence Olivie,Archie Rice,The Entertainer,https://en.wikipedia.org//wiki/The_Entertainer_(film),False,"['English', 'French', 'Huguenot']"
1960,Spencer Trac,Henry Drummond,Inherit the Wind,https://en.wikipedia.org//wiki/Inherit_the_Wind_(1960_film),False,['English']
1961,Maximilian Schell,Hans Rolfe,Judgment at Nuremberg,https://en.wikipedia.org//wiki/Judgment_at_Nuremberg,True,"['SwissGerman', 'Austrian']"
1961,Charles Boye,Cesar,Fanny,https://en.wikipedia.org//wiki/Fanny_(1961_film),False,['French']
1961,Paul Newma,Eddie Felson,The Hustler,https://en.wikipedia.org//wiki/The_Hustler_(film),False,"['Jewish', 'Slovak']"
1961,Spencer Trac,Chief Judge Dan Haywood,Judgment at Nuremberg,https://en.wikipedia.org//wiki/Judgment_at_Nuremberg,False,['English']
1961,Stuart Whitma,Jim Fuller,The Mark,https://en.wikipedia.org//wiki/The_Mark_(1961_film),False,"['Ashkenazi', 'Jewish']"
1962,Gregory Peck,Atticus Finch,To Kill a Mockingbird,https://en.wikipedia.org//wiki/To_Kill_a_Mockingbird_(film),True,"['Irish', 'English', 'German', 'Welsh']"
1962,Burt Lancaste,Robert Stroud,Birdman of Alcatraz,https://en.wikipedia.org//wiki/Birdman_of_Alcatraz_(film),False,"['Northern', 'Irish', 'ScotsIrish']"
1962,Jack Lemmo,Joe Clay,Days of Wine and Roses,https://en.wikipedia.org//wiki/Days_of_Wine_and_Roses_(film),False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1962,Marcello Mastroiann,Ferdinando Cefalù,Divorce Italian Style,https://en.wikipedia.org//wiki/Divorce_Italian_Style,False,['Italian']
1962,Peter O'Tool,T. E. Lawrence,Lawrence of Arabia,https://en.wikipedia.org//wiki/Lawrence_of_Arabia_(film),False,"['Irish', 'Scottish']"
1963,Sidney Poitier,Homer Smith,Lilies of the Field,https://en.wikipedia.org//wiki/Lilies_of_the_Field_(1963_film),True,['AfricanBahamian']
1963,Albert Finne,Tom Jones,Tom Jones,https://en.wikipedia.org//wiki/Tom_Jones_(1963_film),False,[]
1963,Richard Harri,Frank Machin,This Sporting Life,https://en.wikipedia.org//wiki/This_Sporting_Life,False,"['Irish', 'English']"
1963,Rex Harriso,Julius Caesar,Cleopatra,https://en.wikipedia.org//wiki/Cleopatra_(1963_film),False,"['English', 'Scottish']"
1963,Paul Newma,Hud Bannon,Hud,https://en.wikipedia.org//wiki/Hud_(1963_film),False,"['Jewish', 'Slovak']"
1964,Rex Harrison,Professor Henry Higgins,My Fair Lady,https://en.wikipedia.org//wiki/My_Fair_Lady_(film),True,"['English', 'Scottish']"
1964,Richard Burto,Thomas Becket,Becket,https://en.wikipedia.org//wiki/Thomas_Becket,False,['Welsh']
1964,Peter O'Tool,King Henry II of England,,https://en.wikipedia.org//wiki/Peter_O%27Toole,False,"['Irish', 'Scottish']"
1964,Anthony Quin,Alexis Zorba,Zorba the Greek,https://en.wikipedia.org//wiki/Zorba_the_Greek_(film),False,"['Irish75', 'Mexican', 'Spanish', 'Indigenous']"
1964,Peter Seller,Group Captain Lionel MandrakePresident Merkin MuffleyDr. Strangelove,Dr. Strangelove,https://en.wikipedia.org//wiki/Dr._Strangelove,False,"['Sephardi', 'Jewish', 'Ashkenazi', 'Jewish']"
