Year,Actor,Role,Movie,Link, Winner,Ethnicity
1965,Lee Marvin,Kid ShelleenTim Strawn,Cat Ballou,https://en.wikipedia.org//wiki/Cat_Ballou,True,"['English', 'Irish', 'Scottish']"
1965,Richard Burto,Alec Leamas,The Spy Who Came In from the Cold,https://en.wikipedia.org//wiki/The_Spy_Who_Came_In_from_the_Cold_(film),False,['Welsh']
1965,Laurence Olivie,Othello,Othello,https://en.wikipedia.org//wiki/Othello_(character),False,"['English', 'French', 'Huguenot']"
1965,Rod Steige,Sol Nazerman,The Pawnbroker,https://en.wikipedia.org//wiki/The_Pawnbroker_(film),False,"['German', 'AustrianMoravian']"
1965,Oskar Werne,Willie Schumann,Ship of Fools,https://en.wikipedia.org//wiki/Ship_of_Fools_(film),False,[]
1966,Paul Scofield,Sir Thomas More,A Man for All Seasons,https://en.wikipedia.org//wiki/A_Man_for_All_Seasons_(1966_film),True,['English']
1966,Alan Arki,Lt. Rozanov,"The Russians Are Coming, the Russians Are Coming","https://en.wikipedia.org//wiki/The_Russians_Are_Coming,_the_Russians_Are_Coming",False,"['Ashkenazi', 'Jewish']"
1966,Richard Burto,George,Who's Afraid of Virginia Woolf?,https://en.wikipedia.org//wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),False,['Welsh']
1966,Michael Cain,Alfie Elkins,Alfie,https://en.wikipedia.org//wiki/Alfie_(1966_film),False,"['English', 'Irish']"
1966,Steve McQuee,Jake Holman,The Sand Pebbles,https://en.wikipedia.org//wiki/The_Sand_Pebbles_(film),False,"['Scottish', 'English', 'ScotsIrishNorthern', 'Irish', 'German', 'Cornish', 'Dutch', 'Welsh']"
1967,Rod Steiger,Police Chief Bill Gillespie,In the Heat of the Night,https://en.wikipedia.org//wiki/In_the_Heat_of_the_Night_(film),True,"['German', 'AustrianMoravian']"
1967,Warren Beatt,Clyde Barrow,Bonnie and Clyde,https://en.wikipedia.org//wiki/Bonnie_and_Clyde_(film),False,"['English', 'Scottish', 'Irish', 'French', 'Danish', 'Dutch']"
1967,Dustin Hoffma,Benjamin Braddock,The Graduate,https://en.wikipedia.org//wiki/The_Graduate,False,"['Ashkenazi', 'Jewish']"
1967,Paul Newma,"Lucas ""Cool Hand Luke"" Jackson",Cool Hand Luke,https://en.wikipedia.org//wiki/Cool_Hand_Luke,False,"['Jewish', 'Slovak']"
1967,Spencer Tracy *,Matt Drayton,Guess Who's Coming to Dinner,https://en.wikipedia.org//wiki/Guess_Who%27s_Coming_to_Dinner,False,['English']
1968,Cliff Robertson,Charly Gordon,Charly,https://en.wikipedia.org//wiki/Charly,True,"['English', 'German']"
1968,Alan Arki,John Singer,The Heart Is a Lonely Hunter,https://en.wikipedia.org//wiki/The_Heart_Is_a_Lonely_Hunter_(film),False,"['Ashkenazi', 'Jewish']"
1968,Alan Bate,Yakov Bok,The Fixer,https://en.wikipedia.org//wiki/The_Fixer_(1968_film),False,[]
1968,Ron Mood,Fagin,Oliver!,https://en.wikipedia.org//wiki/Oliver!_(film),False,[]
1968,Peter O'Tool,King Henry II of England,The Lion in Winter,https://en.wikipedia.org//wiki/The_Lion_in_Winter_(1968_film),False,"['Irish', 'Scottish']"
1969,John Wayne,"Reuben ""Rooster"" Cogburn",True Grit,https://en.wikipedia.org//wiki/True_Grit_(1969_film),True,"['English', 'ScotsIrishNorthern', 'Irish', 'Irish']"
1969,Richard Burto,King Henry VIII of England,Anne of the Thousand Days,https://en.wikipedia.org//wiki/Anne_of_the_Thousand_Days,False,['Welsh']
1969,Dustin Hoffma,"Enrico Salvatore ""Ratso"" ""Rico"" Rizzo",Midnight Cowboy,https://en.wikipedia.org//wiki/Midnight_Cowboy,False,"['Ashkenazi', 'Jewish']"
1969,Peter O'Tool,Arthur Chipping,"Goodbye, Mr. Chips","https://en.wikipedia.org//wiki/Goodbye,_Mr._Chips_(1969_film)",False,"['Irish', 'Scottish']"
1969,Jon Voigh,Joe Buck,Midnight Cowboy,https://en.wikipedia.org//wiki/Midnight_Cowboy,False,['German']
1970,George C. Scott §,General George S. Patton Jr.,Patton,https://en.wikipedia.org//wiki/George_S._Patton,True,[]
1970,Melvyn Dougla,Tom Garrison,I Never Sang for My Father,https://en.wikipedia.org//wiki/I_Never_Sang_for_My_Father,False,"['Jewish', 'English', 'Scottish']"
1970,James Earl Jone,Jack Jefferson,The Great White Hope,https://en.wikipedia.org//wiki/The_Great_White_Hope_(film),False,['AfricanAmerican']
1970,Jack Nicholso,Robert Eroica Dupea,Five Easy Pieces,https://en.wikipedia.org//wiki/Five_Easy_Pieces,False,"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
1970,Ryan O'Nea,Oliver Barrett IV,Love Story,https://en.wikipedia.org//wiki/Love_Story_(1970_film),False,"['Irish', 'English25', 'Ashkenazi', 'Jewish']"
1971,Gene Hackman,"Detective Jimmy ""Popeye"" Doyle",The French Connection,https://en.wikipedia.org//wiki/The_French_Connection_(film),True,"['English', 'German', 'Scottish', 'Dutch']"
1971,Peter Finc,Dr. Daniel Hirsh,Sunday Bloody Sunday,https://en.wikipedia.org//wiki/Sunday_Bloody_Sunday_(film),False,"['English', 'Scottish']"
1971,Walter Mattha,Joseph P. Kotcher,Kotch,https://en.wikipedia.org//wiki/Kotch,False,"['Ashkenazi', 'Jewish']"
1971,George C. Scot,Dr. Herbert Bock,The Hospital,https://en.wikipedia.org//wiki/The_Hospital,False,"['English', 'German', 'Irish', 'Scottish']"
1971,Topo,Tevye,Fiddler on the Roof,https://en.wikipedia.org//wiki/Fiddler_on_the_Roof_(film),False,[]
1972,Marlon Brando §,Vito Corleone,The Godfather,https://en.wikipedia.org//wiki/The_Godfather,True,[]
1972,Michael Cain,Milo Tindle,Sleuth,https://en.wikipedia.org//wiki/Sleuth_(1972_film),False,"['English', 'Irish']"
1972,Laurence Olivie,Andrew Wyke,,https://en.wikipedia.org//wiki/Laurence_Olivier,False,"['English', 'French', 'Huguenot']"
1972,Peter O'Tool,"Jack Gurney, 14th Earl of Gurney",The Ruling Class,https://en.wikipedia.org//wiki/The_Ruling_Class_(film),False,"['Irish', 'Scottish']"
1972,Paul Winfiel,Nathan Lee Morgan,Sounder,https://en.wikipedia.org//wiki/Sounder_(film),False,[]
1973,Jack Lemmon,Harry Stoner,Save the Tiger,https://en.wikipedia.org//wiki/Save_the_Tiger,True,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1973,Marlon Brand,Paul,Last Tango in Paris,https://en.wikipedia.org//wiki/Last_Tango_in_Paris,False,"['English', 'Irish', 'German', 'Dutch', 'French', 'Huguenot', 'Welsh', 'Scottish']"
1973,Jack Nicholso,"Signalman First Class Billy L. ""Badass"" Buddusky",The Last Detail,https://en.wikipedia.org//wiki/The_Last_Detail,False,"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
1973,Al Pacin,Frank Serpico,Serpico,https://en.wikipedia.org//wiki/Frank_Serpico,False,"['Italian', 'Sicilian', 'Neapolitan']"
1973,Robert Redfor,"Johnny ""Kelly"" Hooker",The Sting,https://en.wikipedia.org//wiki/The_Sting,False,"['English', 'Irish', 'Scottish', 'Northern', 'IrishScotsIrish', 'Cornish']"
1974,Art Carney,Harry Coombes,Harry and Tonto,https://en.wikipedia.org//wiki/Harry_and_Tonto,True,['Irish']
1974,Albert Finne,Hercule Poirot,Murder on the Orient Express,https://en.wikipedia.org//wiki/Murder_on_the_Orient_Express_(1974_film),False,[]
1974,Dustin Hoffma,Lenny Bruce,Lenny,https://en.wikipedia.org//wiki/Lenny_Bruce,False,"['Ashkenazi', 'Jewish']"
1974,Jack Nicholso,"J. J. ""Jake"" Gittes",Chinatown,https://en.wikipedia.org//wiki/Chinatown_(1974_film),False,"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
1974,Al Pacin,Michael Corleone,The Godfather Part II,https://en.wikipedia.org//wiki/The_Godfather_Part_II,False,"['Italian', 'Sicilian', 'Neapolitan']"
1975,Jack Nicholson,"Randle Patrick ""Mac"" McMurphy",One Flew Over the Cuckoo's Nest,https://en.wikipedia.org//wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film),True,"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
1975,Walter Mattha,Willy Clark,The Sunshine Boys,https://en.wikipedia.org//wiki/The_Sunshine_Boys_(1975_film),False,"['Ashkenazi', 'Jewish']"
1975,Al Pacin,Sonny Wortzik,Dog Day Afternoon,https://en.wikipedia.org//wiki/Dog_Day_Afternoon,False,"['Italian', 'Sicilian', 'Neapolitan']"
1975,Maximilian Schel,Arthur Goldman,The Man in the Glass Booth,https://en.wikipedia.org//wiki/The_Man_in_the_Glass_Booth,False,"['SwissGerman', 'Austrian']"
1975,James Whitmor,Harry S. Truman,"Give 'em Hell, Harry!","https://en.wikipedia.org//wiki/Give_%27em_Hell,_Harry!",False,[]
1976,Peter Finch ^,Howard Beale,Network,https://en.wikipedia.org//wiki/Network_(1976_film),True,[]
1976,Robert De Nir,Travis Bickle,Taxi Driver,https://en.wikipedia.org//wiki/Taxi_Driver,False,"['Italian', 'Irish', 'German', 'Dutch', 'English', 'French', 'Huguenot', 'Scottish', 'ScotsIrishNorthern', 'Irish']"
1976,Giancarlo Giannin,Pasqualino Frafuso,Seven Beauties,https://en.wikipedia.org//wiki/Seven_Beauties,False,['Italian']
1976,William Holde,Max Schumacher,Network,https://en.wikipedia.org//wiki/Network_(1976_film),False,"['English', 'Irish', 'French']"
1976,Sylvester Stallon,Rocky Balboa,Rocky,https://en.wikipedia.org//wiki/Rocky_Balboa,False,"['Italian25', 'French', 'Breton25', 'German', 'Ashkenazi', 'Jewish']"
1977,Richard Dreyfuss,Elliot Garfield,The Goodbye Girl,https://en.wikipedia.org//wiki/The_Goodbye_Girl,True,"['Ashkenazi', 'Jewish']"
1977,Woody Alle,Alvy Singer,Annie Hall,https://en.wikipedia.org//wiki/Annie_Hall,False,"['Ashkenazi', 'Jewish']"
1977,Richard Burto,Martin Dysart,Equus,https://en.wikipedia.org//wiki/Equus_(film),False,['Welsh']
1977,Marcello Mastroiann,Gabriele,A Special Day,https://en.wikipedia.org//wiki/A_Special_Day,False,['Italian']
1977,John Travolt,"Anthony ""Tony"" Manero",Saturday Night Fever,https://en.wikipedia.org//wiki/Saturday_Night_Fever,False,"['ItalianSicilian50', 'Irish']"
1978,Jon Voight,Luke Martin,Coming Home,https://en.wikipedia.org//wiki/Coming_Home_(1978_film),True,['German']
1978,Warren Beatt,Joe Pendleton,Heaven Can Wait,https://en.wikipedia.org//wiki/Heaven_Can_Wait_(1978_film),False,"['English', 'Scottish', 'Irish', 'French', 'Danish', 'Dutch']"
1978,Gary Buse,Buddy Holly,The Buddy Holly Story,https://en.wikipedia.org//wiki/The_Buddy_Holly_Story,False,[]
1978,Robert De Nir,Michael Vronsky,The Deer Hunter,https://en.wikipedia.org//wiki/The_Deer_Hunter,False,"['Italian', 'Irish', 'German', 'Dutch', 'English', 'French', 'Huguenot', 'Scottish', 'ScotsIrishNorthern', 'Irish']"
1978,Laurence Olivie,Ezra Lieberman,The Boys from Brazil,https://en.wikipedia.org//wiki/The_Boys_from_Brazil_(film),False,"['English', 'French', 'Huguenot']"
1979,Dustin Hoffman,Ted Kramer,Kramer vs. Kramer,https://en.wikipedia.org//wiki/Kramer_vs._Kramer,True,"['Ashkenazi', 'Jewish']"
1979,Jack Lemmo,Jack Godell,The China Syndrome,https://en.wikipedia.org//wiki/The_China_Syndrome,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1979,Al Pacin,Arthur Kirkland,...And Justice for All.,https://en.wikipedia.org//wiki/...And_Justice_for_All.,False,"['Italian', 'Sicilian', 'Neapolitan']"
1979,Roy Scheide,Joe Gideon,All That Jazz,https://en.wikipedia.org//wiki/All_That_Jazz_(film),False,"['German', 'Irish']"
1979,Peter Seller,"Chance the Gardener, aka Chauncey Gardiner",Being There,https://en.wikipedia.org//wiki/Being_There,False,"['Sephardi', 'Jewish', 'Ashkenazi', 'Jewish']"
1980,Robert De Niro,Jake LaMotta,Raging Bull,https://en.wikipedia.org//wiki/Raging_Bull,True,"['Italian', 'Irish', 'German', 'Dutch', 'English', 'French', 'Huguenot', 'Scottish', 'ScotsIrishNorthern', 'Irish']"
1980,Robert Duval,"Lieutenant Colonel Wilbur ""Bull"" Meechum",The Great Santini,https://en.wikipedia.org//wiki/The_Great_Santini,False,"['English', 'German', 'SwissGerman', 'French', 'Welsh', 'Scottish']"
1980,John Hur,John Merrick,The Elephant Man,https://en.wikipedia.org//wiki/The_Elephant_Man_(film),False,['English']
1980,Jack Lemmo,Scottie Templeton,Tribute,https://en.wikipedia.org//wiki/Tribute_(1980_film),False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1980,Peter O'Tool,Eli Cross,The Stunt Man,https://en.wikipedia.org//wiki/The_Stunt_Man,False,"['Irish', 'Scottish']"
1981,Henry Fonda,Norman Thayer Jr.,On Golden Pond,https://en.wikipedia.org//wiki/On_Golden_Pond_(1981_film),True,"['Dutch', 'English', 'Scottish', 'Norwegian', 'German', 'Italian']"
1981,Warren Beatt,"John Silas ""Jack"" Reed",Reds,https://en.wikipedia.org//wiki/Reds_(film),False,"['English', 'Scottish', 'Irish', 'French', 'Danish', 'Dutch']"
1981,Burt Lancaste,Lou Pascal,Atlantic City,https://en.wikipedia.org//wiki/Atlantic_City_(1980_film),False,"['Northern', 'Irish', 'ScotsIrish']"
1981,Dudley Moor,Arthur Bach,Arthur,https://en.wikipedia.org//wiki/Arthur_(1981_film),False,"['English', 'Welsh']"
1981,Paul Newma,Michael Colin Gallagher,Absence of Malice,https://en.wikipedia.org//wiki/Absence_of_Malice,False,"['Jewish', 'Slovak']"
1982,Ben Kingsley,Mahatma Gandhi,Gandhi,https://en.wikipedia.org//wiki/Mahatma_Gandhi,True,"['Gujarati', 'Indianmaternal', 'Englishmaternal', 'Ashkenazi', 'Jewish']"
1982,Dustin Hoffma,Michael Dorsey / Dorothy Michaels,Tootsie,https://en.wikipedia.org//wiki/Tootsie,False,"['Ashkenazi', 'Jewish']"
1982,Jack Lemmo,Edmund Horman,Missing,https://en.wikipedia.org//wiki/Missing_(1982_film),False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1982,Paul Newma,Frank Galvin,The Verdict,https://en.wikipedia.org//wiki/The_Verdict,False,"['Jewish', 'Slovak']"
1982,Peter O'Tool,Alan Swann,My Favorite Year,https://en.wikipedia.org//wiki/My_Favorite_Year,False,"['Irish', 'Scottish']"
1983,Robert Duvall,Mac Sledge,Tender Mercies,https://en.wikipedia.org//wiki/Tender_Mercies,True,"['English', 'German', 'SwissGerman', 'French', 'Welsh', 'Scottish']"
1983,Michael Cain,Dr. Frank Bryant,Educating Rita,https://en.wikipedia.org//wiki/Educating_Rita_(film),False,"['English', 'Irish']"
1983,Tom Cont,Gowan McGland,"Reuben, Reuben","https://en.wikipedia.org//wiki/Reuben,_Reuben",False,[]
1983,Tom Courtena,Norman,The Dresser,https://en.wikipedia.org//wiki/The_Dresser_(1983_film),False,"['English', 'Scottish', 'Irish', 'Northern', 'Irish']"
1983,Albert Finne,Sir,,https://en.wikipedia.org//wiki/Albert_Finney,False,[]
1984,F. Murray Abraham,Antonio Salieri,Amadeus,https://en.wikipedia.org//wiki/Amadeus_(film),True,['Italian']
1984,Jeff Bridge,Starman,Starman,https://en.wikipedia.org//wiki/Starman_(film),False,"['English', 'ScotsIrishNorthern', 'Irish', 'Irish', 'SwissGerman', 'German']"
1984,Albert Finne,Geoffrey Firmin,Under the Volcano,https://en.wikipedia.org//wiki/Under_the_Volcano_(film),False,[]
1984,Tom Hulc,Wolfgang Amadeus Mozart,Amadeus,https://en.wikipedia.org//wiki/Wolfgang_Amadeus_Mozart,False,"['English', 'German', 'Irish', 'Dutch']"
1984,Sam Watersto,Sydney Schanberg,The Killing Fields,https://en.wikipedia.org//wiki/The_Killing_Fields_(film),False,"['English', 'Scottish']"
1985,William Hurt,Luis Molina,Kiss of the Spider Woman,https://en.wikipedia.org//wiki/Kiss_of_the_Spider_Woman_(film),True,"['English', 'German', 'Scottish', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Swedish']"
1985,Harrison For,Detective Captain John Book,Witness,https://en.wikipedia.org//wiki/Witness_(1985_film),False,"['Irish', 'German', 'Ashkenazi', 'Jewish']"
1985,James Garne,Murphy Jones,Murphy's Romance,https://en.wikipedia.org//wiki/Murphy%27s_Romance,False,"['English', 'Irish', 'German', 'Welsh', 'SwissGerman']"
1985,Jack Nicholso,Charley Partanna,Prizzi's Honor,https://en.wikipedia.org//wiki/Prizzi%27s_Honor,False,"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
1985,Jon Voigh,"Oscar ""Manny"" Manheim",Runaway Train,https://en.wikipedia.org//wiki/Runaway_Train_(film),False,['German']
1986,Paul Newman,Fast Eddie Felson,The Color of Money,https://en.wikipedia.org//wiki/The_Color_of_Money,True,"['Jewish', 'Slovak']"
1986,Dexter Gordo,Dale Turner,Round Midnight,https://en.wikipedia.org//wiki/Round_Midnight_(film),False,[]
1986,Bob Hoskin,George,Mona Lisa,https://en.wikipedia.org//wiki/Mona_Lisa_(1986_film),False,"['English', 'Romani']"
1986,William Hur,James Leeds,Children of a Lesser God,https://en.wikipedia.org//wiki/Children_of_a_Lesser_God_(film),False,"['English', 'German', 'Scottish', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Swedish']"
1986,James Wood,Richard Boyle,Salvador,https://en.wikipedia.org//wiki/Salvador_(film),False,"['Irish', 'English', 'German']"
1987,Michael Douglas,Gordon Gekko,Wall Street,https://en.wikipedia.org//wiki/Wall_Street_(1987_film),True,"['Ashkenazi', 'Jewish', 'English', 'Irish', 'Welsh', 'Dutch', 'Scottish', 'Belgian', 'French']"
1987,William Hur,Tom Grunick,Broadcast News,https://en.wikipedia.org//wiki/Broadcast_News_(film),False,"['English', 'German', 'Scottish', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Swedish']"
1987,Marcello Mastroiann,Romano,Dark Eyes,https://en.wikipedia.org//wiki/Dark_Eyes_(1987_film),False,['Italian']
1987,Jack Nicholso,Francis Phelan,Ironweed,https://en.wikipedia.org//wiki/Ironweed_(film),False,"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
1987,Robin William,Adrian Cronauer,"Good Morning, Vietnam","https://en.wikipedia.org//wiki/Good_Morning,_Vietnam",False,"['English', 'Welsh', 'Irish', 'Scottish', 'German', 'French']"
1988,Dustin Hoffman,Raymond Babbitt,Rain Man,https://en.wikipedia.org//wiki/Rain_Man,True,"['Ashkenazi', 'Jewish']"
1988,Gene Hackma,Agent Rupert Anderson,Mississippi Burning,https://en.wikipedia.org//wiki/Mississippi_Burning,False,"['English', 'German', 'Scottish', 'Dutch']"
1988,Tom Hank,Josh Baskin,Big,https://en.wikipedia.org//wiki/Big_(film),False,"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
1988,Edward James Olmo,Jaime Escalante,Stand and Deliver,https://en.wikipedia.org//wiki/Stand_and_Deliver,False,['Mexican']
1988,Max von Sydo,Lassefar,Pelle the Conqueror,https://en.wikipedia.org//wiki/Pelle_the_Conqueror,False,"['Swedish', 'German', 'Scottish']"
1989,Daniel Day-Lewis,Christy Brown,My Left Foot,https://en.wikipedia.org//wiki/My_Left_Foot,True,"['English', 'Northern', 'Irish', 'Welsh', 'Ashkenazi', 'Jewish']"
1989,Kenneth Branag,King Henry V of England,Henry V,https://en.wikipedia.org//wiki/Henry_V_of_England,False,"['Northern', 'Irish']"
1989,Tom Cruis,Ron Kovic,Born on the Fourth of July,https://en.wikipedia.org//wiki/Born_on_the_Fourth_of_July_(film),False,"['German4375', 'Irish125', 'English', 'Welsh']"
1989,Morgan Freema,Hoke Colburn,Driving Miss Daisy,https://en.wikipedia.org//wiki/Driving_Miss_Daisy,False,"['AfricanAmerican', 'English']"
1989,Robin William,"John Charles ""Keats"" Keating",Dead Poets Society,https://en.wikipedia.org//wiki/Dead_Poets_Society,False,"['English', 'Welsh', 'Irish', 'Scottish', 'German', 'French']"
1990,Jeremy Irons,Claus von Bülow,Reversal of Fortune,https://en.wikipedia.org//wiki/Reversal_of_Fortune,True,"['English', 'Irish', 'Scottish']"
1990,Kevin Costne,Lieutenant John J. Dunbar,Dances with Wolves,https://en.wikipedia.org//wiki/Dances_with_Wolves,False,"['English', 'German', 'SwissGerman', 'Scottish', 'Welsh', 'Irish', 'ScotsIrishNorthern', 'Irish']"
1990,Robert De Nir,Leonard Lowe,Awakenings,https://en.wikipedia.org//wiki/Awakenings,False,"['Italian', 'Irish', 'German', 'Dutch', 'English', 'French', 'Huguenot', 'Scottish', 'ScotsIrishNorthern', 'Irish']"
1990,Gérard Depardie,Cyrano de Bergerac,Cyrano de Bergerac,https://en.wikipedia.org//wiki/Cyrano_de_Bergerac,False,[]
1990,Richard Harri,"""Bull"" McCabe",The Field,https://en.wikipedia.org//wiki/The_Field_(film),False,"['Irish', 'English']"
1991,Anthony Hopkins,Dr. Hannibal Lecter,The Silence of the Lambs,https://en.wikipedia.org//wiki/The_Silence_of_the_Lambs_(film),True,"['Welsh', 'English']"
1991,Warren Beatt,"Benjamin ""Bugsy"" Siegel",Bugsy,https://en.wikipedia.org//wiki/Bugsy_Siegel,False,"['English', 'Scottish', 'Irish', 'French', 'Danish', 'Dutch']"
1991,Robert De Nir,"Maximilian ""Max"" Cady",Cape Fear,https://en.wikipedia.org//wiki/Cape_Fear_(1991_film),False,"['Italian', 'Irish', 'German', 'Dutch', 'English', 'French', 'Huguenot', 'Scottish', 'ScotsIrishNorthern', 'Irish']"
1991,Nick Nolt,Tom Wingo,The Prince of Tides,https://en.wikipedia.org//wiki/The_Prince_of_Tides,False,"['German', 'English', 'Scottish', 'Northern', 'Irish', 'ScotsIrish', 'SwissGerman']"
1991,Robin William,"Henry ""Parry"" Sagan",The Fisher King,https://en.wikipedia.org//wiki/The_Fisher_King,False,"['English', 'Welsh', 'Irish', 'Scottish', 'German', 'French']"
1992,Al Pacino,Lieutenant Colonel Frank Slade,Scent of a Woman,https://en.wikipedia.org//wiki/Scent_of_a_Woman_(1992_film),True,"['Italian', 'Sicilian', 'Neapolitan']"
1992,Robert Downey Jr,Charlie Chaplin,Chaplin,https://en.wikipedia.org//wiki/Charlie_Chaplin,False,"['Ashkenazi', 'Jewish', 'English', 'Scottish', 'German', 'SwissGerman', 'Irish']"
1992,Clint Eastwoo,"William ""Will"" Munny",Unforgiven,https://en.wikipedia.org//wiki/Unforgiven,False,"['English', 'Scottish', 'Irish', 'German', 'Dutch', 'Welsh']"
1992,Stephen Re,Fergus,The Crying Game,https://en.wikipedia.org//wiki/The_Crying_Game,False,[]
1992,Denzel Washingto,Malcolm X,Malcolm X,https://en.wikipedia.org//wiki/Malcolm_X,False,['AfricanAmerican']
1993,Tom Hanks,Andrew Beckett,Philadelphia,https://en.wikipedia.org//wiki/Philadelphia_(film),True,"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
1993,Daniel Day-Lewi,Gerry Conlon,In the Name of the Father,https://en.wikipedia.org//wiki/In_the_Name_of_the_Father_(film),False,"['English', 'Northern', 'Irish', 'Welsh', 'Ashkenazi', 'Jewish']"
