year,actor,movie,winner,ethnicity
1988,Tom Hulce,Dominick and Eugene,False,"['English', 'German', 'Irish', 'Dutch']"
1988,Edward James Olmos,Stand and Deliver,False,['Mexican']
1988,Forest Whitaker,Bird,False,['AfricanAmerican']
1989,Tom Cruise,Born on the Fourth of July,True,"['German4375', 'Irish125', 'English', 'Welsh']"
1989,Daniel Day-Lewis,My Left Foot,False,"['English', 'Northern', 'Irish', 'Welsh', 'Ashkenazi', 'Jewish']"
1989,Jack Lemmon,Dad,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1989,Al Pacino,Sea of Love,False,"['Italian', 'Sicilian', 'Neapolitan']"
1989,Robin Williams,Dead Poets Society,False,"['English', 'Welsh', 'Irish', 'Scottish', 'German', 'French']"
1990,Jeremy Irons,Reversal of Fortune,True,"['English', 'Irish', 'Scottish']"
1990,Kevin Costner,Dances with Wolves,False,"['English', 'German', 'SwissGerman', 'Scottish', 'Welsh', 'Irish', 'ScotsIrishNorthern', 'Irish']"
1990,Richard Harris,The Field,False,"['Irish', 'English']"
1990,Al Pacino,The Godfather Part III,False,"['Italian', 'Sicilian', 'Neapolitan']"
1990,Robin Williams,Awakenings,False,"['English', 'Welsh', 'Irish', 'Scottish', 'German', 'French']"
1991,Nick Nolte,The Prince of Tides,True,"['German', 'English', 'Scottish', 'Northern', 'Irish', 'ScotsIrish', 'SwissGerman']"
1991,Warren Beatty,Bugsy,False,"['English', 'Scottish', 'Irish', 'French', 'Danish', 'Dutch']"
1991,Kevin Costner,JFK,False,"['English', 'German', 'SwissGerman', 'Scottish', 'Welsh', 'Irish', 'ScotsIrishNorthern', 'Irish']"
1991,Robert De Niro,Cape Fear,False,"['Italian', 'Irish', 'German', 'Dutch', 'English', 'French', 'Huguenot', 'Scottish', 'ScotsIrishNorthern', 'Irish']"
1991,Anthony Hopkins,The Silence of the Lambs,False,"['Welsh', 'English']"
1992,Al Pacino,Scent of a Woman,True,"['Italian', 'Sicilian', 'Neapolitan']"
1992,Tom Cruise,A Few Good Men,False,"['German4375', 'Irish125', 'English', 'Welsh']"
1992,Robert Downey Jr.,Chaplin,False,"['Ashkenazi', 'Jewish', 'English', 'Scottish', 'German', 'SwissGerman', 'Irish']"
1992,Jack Nicholson,Hoffa,False,"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
1992,Denzel Washington,Malcolm X,False,['AfricanAmerican']
1993,Tom Hanks,Philadelphia,True,"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
1993,Daniel Day-Lewis,In the Name of the Father,False,"['English', 'Northern', 'Irish', 'Welsh', 'Ashkenazi', 'Jewish']"
1993,Harrison Ford,The Fugitive,False,"['Irish', 'German', 'Ashkenazi', 'Jewish']"
1993,Anthony Hopkins,The Remains of the Day,False,"['Welsh', 'English']"
1993,Liam Neeson,Schindler's List,False,['Irish']
1994,Tom Hanks,Forrest Gump,True,"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
1994,Morgan Freeman,The Shawshank Redemption,False,"['AfricanAmerican', 'English']"
1994,Paul Newman,Nobody's Fool,False,"['Jewish', 'Slovak']"
1994,Brad Pitt,Legends of the Fall,False,"['English', 'ScotsIrishNorthern', 'Irish', 'German', 'Scottish', 'Welsh', 'Irish', 'Swedish', 'Dutch', 'French', 'Cornish', 'Channel', 'IslanderJersey']"
1994,John Travolta,Pulp Fiction,False,"['ItalianSicilian50', 'Irish']"
1995,Nicolas Cage,Leaving Las Vegas,True,"['Italian25', 'Polish1875', 'German625', 'British', 'Isles', 'English', 'Scottish']"
1995,Richard Dreyfuss,Mr. Holland's Opus,False,"['Ashkenazi', 'Jewish']"
1995,Anthony Hopkins,Nixon,False,"['Welsh', 'English']"
1995,Ian McKellen,Richard III,False,"['Scottish', 'Northern', 'Irish', 'English']"
1995,Sean Penn,Dead Man Walking,False,"['Jewish', 'Italian', 'Irish']"
1996,Geoffrey Rush,Shine,True,"['Irish', 'Scottish', 'German']"
1996,Ralph Fiennes,The English Patient,False,"['English', 'Northern', 'Irish', 'Irish', 'Scottish']"
1996,Mel Gibson,Ransom,False,"['Irish125', 'English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh']"
1996,Woody Harrelson,The People vs. Larry Flynt,False,"['English', 'Scottish', 'German', 'Dutch', 'Welsh', 'Danish', 'French']"
1996,Liam Neeson,Michael Collins,False,['Irish']
1997,Peter Fonda,Ulee's Gold,True,"['Dutch', 'English', 'Scottish', 'FrenchCanadian', 'Italian', 'German', 'Belgian', 'Flemish', 'Norwegian', 'Cornish']"
1997,Matt Damon,Good Will Hunting,False,[]
1997,Daniel Day-Lewis,The Boxer,False,[]
1997,Leonardo DiCaprio,Titanic,False,"['German', 'German', 'Russian']"
1997,Djimon Hounsou,Amistad,False,['Beninese']
1998,Jim Carrey,The Truman Show,True,"['FrenchCanadian', 'English', 'Scottish', 'Irish']"
1998,Stephen Fry,Wilde,False,"['Ashkenazi', 'Jewish']"
1998,Tom Hanks,Saving Private Ryan,False,"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
1998,Ian McKellen,Gods and Monsters,False,"['Scottish', 'Northern', 'Irish', 'English']"
1998,Nick Nolte,Affliction,False,"['German', 'English', 'Scottish', 'Northern', 'Irish', 'ScotsIrish', 'SwissGerman']"
1999,Denzel Washington,The Hurricane,True,['AfricanAmerican']
1999,Russell Crowe,The Insider,False,"['Welsh', 'English', 'Scottish', 'Irish', 'Māori', 'Norwegian', 'Swedish', 'German', 'Italian']"
1999,Matt Damon,The Talented Mr. Ripley,False,"['Scottish', 'Welsh', 'Finnish', 'Swedish', 'Norwegian']"
1999,Richard Farnsworth,The Straight Story,False,[]
1999,Kevin Spacey,American Beauty,False,"['Swedish', 'English', 'Welsh']"
2000[1],Tom Hanks,Cast Away,True,"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
2000[1],Javier Bardem,Before Night Falls,False,"['Spanish', 'Castilian', 'Leónese', 'Basque', 'Catalan', 'British', 'Isles', 'Irish', 'English']"
2000[1],Russell Crowe,Gladiator,False,"['Welsh', 'English', 'Scottish', 'Irish', 'Māori', 'Norwegian', 'Swedish', 'German', 'Italian']"
2000[1],Michael Douglas,Wonder Boys,False,"['Ashkenazi', 'Jewish', 'English', 'Irish', 'Welsh', 'Dutch', 'Scottish', 'Belgian', 'French']"
2000[1],Geoffrey Rush,Quills,False,"['Irish', 'Scottish', 'German']"
2001,Russell Crowe,A Beautiful Mind,True,"['Welsh', 'English', 'Scottish', 'Irish', 'Māori', 'Norwegian', 'Swedish', 'German', 'Italian']"
2001,Will Smith,Ali,False,['AfricanAmerican']
2001,Kevin Spacey,The Shipping News,False,"['Swedish', 'English', 'Welsh']"
2001,Billy Bob Thornton,The Man Who Wasn't There,False,"['English', 'Scottish', 'Irish']"
2001,Denzel Washington,Training Day,False,['AfricanAmerican']
2002,Jack Nicholson,About Schmidt,True,"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
2002,Adrien Brody,The Pianist,False,"['Ashkenazi', 'Jewish25', 'Hungarian']"
2002,Michael Caine,The Quiet American,False,"['English', 'Irish']"
2002,Daniel Day-Lewis,Gangs of New York,False,"['English', 'Northern', 'Irish', 'Welsh', 'Ashkenazi', 'Jewish']"
2002,Leonardo DiCaprio,Catch Me If You Can,False,"['German', 'German', 'Russian']"
2003,Sean Penn,Mystic River,True,"['Jewish', 'Italian', 'Irish']"
2003,Russell Crowe,Master and Commander: The Far Side of the World,False,"['Welsh', 'English', 'Scottish', 'Irish', 'Māori', 'Norwegian', 'Swedish', 'German', 'Italian']"
2003,Tom Cruise,The Last Samurai,False,"['German4375', 'Irish125', 'English', 'Welsh']"
2003,Ben Kingsley,House of Sand and Fog,False,"['Gujarati', 'Indianmaternal', 'Englishmaternal', 'Ashkenazi', 'Jewish']"
2003,Jude Law,Cold Mountain,False,"['English', 'Welsh', 'Scottish']"
2004,Leonardo DiCaprio,The Aviator,True,"['German', 'German', 'Russian']"
2004,Javier Bardem,The Sea Inside,False,"['Spanish', 'Castilian', 'Leónese', 'Basque', 'Catalan', 'British', 'Isles', 'Irish', 'English']"
2004,Don Cheadle,Hotel Rwanda,False,['AfricanAmerican']
2004,Johnny Depp,Finding Neverland,False,"['English', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'FrenchCanadian', 'Dutch', 'Flemish', 'Belgian', 'German', 'African']"
2004,Liam Neeson,Kinsey,False,['Irish']
2005,Philip Seymour Hoffman,Capote,True,"['Irish', 'English', 'German', 'Dutch', 'Polish']"
2005,Russell Crowe,Cinderella Man,False,"['Welsh', 'English', 'Scottish', 'Irish', 'Māori', 'Norwegian', 'Swedish', 'German', 'Italian']"
2005,Terrence Howard,Hustle & Flow,False,['AfricanAmerican']
2005,Heath Ledger,Brokeback Mountain,False,"['English', 'Irish', 'Scottish', 'Welsh', 'Jewish', 'Ashkenazi', 'Sephardi']"
2005,David Strathairn,"Good Night, and Good Luck",False,"['Scottish', 'Irish', 'Native', 'Hawaiian', 'Chinese', 'Azorean', 'Portuguese', 'Scottish', 'English']"
2006,Forest Whitaker,The Last King of Scotland,True,['AfricanAmerican']
2006,Leonardo DiCaprio,Blood Diamond,False,"['German', 'German', 'Russian']"
2006,Leonardo DiCaprio,The Departed,False,"['German', 'German', 'Russian']"
2006,Peter O'Toole,Venus,False,"['Irish', 'Scottish']"
2006,Will Smith,The Pursuit of Happyness,False,['AfricanAmerican']
2007,Daniel Day-Lewis,There Will Be Blood,True,"['English', 'Northern', 'Irish', 'Welsh', 'Ashkenazi', 'Jewish']"
2007,George Clooney,Michael Clayton,False,"['Irish', 'English', 'German', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'Huguenot', 'Dutch']"
2007,James McAvoy,Atonement,False,['Scottish']
2007,Viggo Mortensen,Eastern Promises,False,"['English', 'Scottish']"
2007,Denzel Washington,American Gangster,False,['AfricanAmerican']
2008,Mickey Rourke,The Wrestler,True,"['Irish', 'German', 'FrenchCanadian', 'English', 'German']"
2008,Leonardo DiCaprio,Revolutionary Road,False,"['German', 'German', 'Russian']"
2008,Frank Langella,Frost/Nixon,False,['Italian']
2008,Sean Penn,Milk,False,"['Jewish', 'Italian', 'Irish']"
2008,Brad Pitt,The Curious Case of Benjamin Button,False,"['English', 'ScotsIrishNorthern', 'Irish', 'German', 'Scottish', 'Welsh', 'Irish', 'Swedish', 'Dutch', 'French', 'Cornish', 'Channel', 'IslanderJersey']"
2009,Jeff Bridges,Crazy Heart,True,"['English', 'ScotsIrishNorthern', 'Irish', 'Irish', 'SwissGerman', 'German']"
2009,George Clooney,Up in the Air,False,"['Irish', 'English', 'German', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'Huguenot', 'Dutch']"
2009,Colin Firth,A Single Man,False,"['English', 'Scottish', 'UlsterScotsNorthern', 'Irish']"
2009,Morgan Freeman,Invictus,False,"['AfricanAmerican', 'English']"
2009,Tobey Maguire,Brothers,False,"['Irish', 'English', 'Austrian', 'Puerto', 'Rican', 'Danish', 'French', 'German']"
2010,Colin Firth,The King's Speech,True,"['English', 'Scottish', 'UlsterScotsNorthern', 'Irish']"
2010,Jesse Eisenberg,The Social Network,False,"['Ashkenazi', 'Jewish']"
2010,James Franco,127 Hours,False,"['Swedish', 'Ashkenazi', 'Jewish']"
2010,Ryan Gosling,Blue Valentine,False,"['FrenchCanadian', 'English', 'Scottish', 'Irish', 'German', 'AfricanAmerican']"
2010,Mark Wahlberg,The Fighter,False,"['Irish25', 'Swedish625', 'English625', 'FrenchCanadian3125', 'Scottish']"
2011,George Clooney,The Descendants,True,"['Irish', 'English', 'German', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'Huguenot', 'Dutch']"
2011,Leonardo DiCaprio,J. Edgar,False,"['German', 'German', 'Russian']"
2011,Michael Fassbender,Shame,False,['Irish']
2011,Ryan Gosling,The Ides of March,False,"['FrenchCanadian', 'English', 'Scottish', 'Irish', 'German', 'AfricanAmerican']"
2011,Brad Pitt,Moneyball,False,"['English', 'ScotsIrishNorthern', 'Irish', 'German', 'Scottish', 'Welsh', 'Irish', 'Swedish', 'Dutch', 'French', 'Cornish', 'Channel', 'IslanderJersey']"
2012,Daniel Day-Lewis,Lincoln,True,"['English', 'Northern', 'Irish', 'Welsh', 'Ashkenazi', 'Jewish']"
2012,Richard Gere,Arbitrage,False,"['English', 'ScotsIrishNorthern', 'Irish', 'Welsh', 'Dutch', 'Scottish', 'German', 'French']"
2012,John Hawkes,The Sessions,False,"['Norwegian', 'Swedish', 'Irish', 'English', 'Danish']"
2012,Joaquin Phoenix,The Master,False,"['English', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'German', 'Irish', 'Welsh', 'French', 'Huguenot', 'Ashkenazi', 'Jewish']"
2012,Denzel Washington,Flight,False,['AfricanAmerican']
2013,Matthew McConaughey,Dallas Buyers Club,True,"['Irish', 'English', 'Scottish', 'German', 'Swedish', 'Welsh']"
2013,Chiwetel Ejiofor,12 Years a Slave,False,"['Igbo', 'Nigerian']"
2013,Idris Elba,Mandela: Long Walk to Freedom,False,"['Leonean', 'Ghanaian']"
2013,Tom Hanks,Captain Phillips,False,"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
2013,Robert Redford,All Is Lost,False,"['English', 'Irish', 'Scottish', 'Northern', 'IrishScotsIrish', 'Cornish']"
2014,Eddie Redmayne,The Theory of Everything,True,"['English', 'Irish', 'Scottish', 'Northern', 'Irish', 'Welsh']"
2014,Steve Carell,Foxcatcher,False,"['German', 'Polish']"
2014,Benedict Cumberbatch,The Imitation Game,False,"['English', 'Welsh', 'Scottish', 'Cornish', 'French', 'SwissFrench', 'Swedish', 'German', 'Dutch']"
2014,Jake Gyllenhaal,Nightcrawler,False,"['Swedish', 'English', 'SwissGerman', 'German', 'Scottish', 'Welsh', 'French', 'Ashkenazi', 'Jewish']"
2014,David Oyelowo,Selma,False,['Nigerian']
2015,Leonardo DiCaprio,The Revenant,True,"['German', 'German', 'Russian']"
2015,Bryan Cranston,Trumbo,False,"['German', 'SwissGerman25', 'IrishNorthern', 'Irish125', 'Ashkenazi', 'Jewish']"
2015,Michael Fassbender,Steve Jobs,False,['Irish']
2015,Eddie Redmayne,The Danish Girl,False,"['English', 'Irish', 'Scottish', 'Northern', 'Irish', 'Welsh']"
2015,Will Smith,Concussion,False,['AfricanAmerican']
2016,Casey Affleck,Manchester by the Sea,True,"['English', 'Irish', 'German', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'French', 'SwissGerman', 'Swedish', 'Welsh']"
2016,Joel Edgerton,Loving,False,['Dutch']
2016,Andrew Garfield,Hacksaw Ridge,False,"['Jewish', 'English']"
2016,Viggo Mortensen,Captain Fantastic,False,"['English', 'Scottish']"
2016,Denzel Washington,Fences,False,['AfricanAmerican']
2017,Gary Oldman,Darkest Hour,True,"['English', 'Irish']"
2017,Timothée Chalamet,Call Me by Your Name,False,[]
2017,Daniel Day-Lewis,Phantom Thread,False,"['English', 'Northern', 'Irish', 'Welsh', 'Ashkenazi', 'Jewish']"
2017,Tom Hanks,The Post,False,"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
2017,Denzel Washington,"Roman J. Israel, Esq.",False,['AfricanAmerican']
2018,Rami Malek,Bohemian Rhapsody,True,"['Egyptian125', 'Greek']"
2018,Bradley Cooper,A Star Is Born,False,['Italian']
2018,Willem Dafoe,At Eternity's Gate,False,"['German', 'English', 'Irish', 'Northern', 'Irish', 'Scottish', 'SwissFrench', 'French']"
2018,Lucas Hedges,Boy Erased,False,"['English', 'German', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'French', 'Welsh']"
2018,John David Washington,BlacKkKlansman,False,['AfricanAmerican']
2019,Joaquin Phoenix,Joker,True,"['English', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'German', 'Irish', 'Welsh', 'French', 'Huguenot', 'Ashkenazi', 'Jewish']"
2019,Christian Bale,Ford v. Ferrari,False,"['English', 'Channel', 'Islander', 'Guernsey', 'German']"
2019,Antonio Banderas,Pain and Glory,False,['Spanish']
2019,Adam Driver,Marriage Story,False,"['English', 'DutchFrisian', 'German', 'Irish', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'Welsh', 'French', 'Swedish']"
2019,Jonathan Pryce,The Two Popes,False,['Welsh']
